Word	Joy	Anger	Sadness	Fear	Disgust
不可思議	2.234800100326538	2.272700071334839	1.9467999935150146	2.585700035095215	1.8478000164031982
不平	1.340499997138977	2.6774001121520996	2.321199893951416	2.822499990463257	2.1600000858306885
不甘	1.267699956893921	2.9214999675750732	2.5641000270843506	3.1071999073028564	2.2820000648498535
不安	1.3779000043869019	2.5508999824523926	2.206399917602539	2.664599895477295	2.0933001041412354
不利	1.3351999521255493	2.6500000953674316	2.2992000579833984	2.776599884033203	2.1493000984191895
不足	1.4661999940872192	2.1910998821258545	1.9198999404907227	2.2374000549316406	1.9056999683380127
不定	1.4630999565124512	2.1089999675750732	1.8653000593185425	2.1236000061035156	1.8691999912261963
不宜	1.3765000104904175	2.3633999824523926	2.065999984741211	2.3775999546051025	2.0209999084472656
不幸	1.1614999771118164	3.009999990463257	2.7492001056671143	3.138400077819824	2.412400007247925
不拘小節	2.554800033569336	1.5052000284194946	1.4306000471115112	1.6094000339508057	1.406000018119812
不服	1.3306000232696533	2.8777999877929688	2.498800039291382	3.0861001014709473	2.2369000911712646
不知所措	1.2525999546051025	2.896399974822998	2.543100118637085	3.0622000694274902	2.2772998809814453
不便	1.4240000247955322	2.29010009765625	1.998900055885315	2.330699920654297	1.9666999578475952
不耐	1.4240000247955322	2.29010009765625	1.998900055885315	2.330699920654297	1.9666999578475952
不耐煩	1.346500039100647	2.7035999298095703	2.342099905014038	2.867300033569336	2.170099973678589
不准	1.354699969291687	2.731100082397461	2.361799955368042	2.911400079727173	2.1768999099731445
不屑	1.2041000127792358	2.934999942779541	2.6022000312805176	3.078700065612793	2.317500114440918
不悅	1.2379000186920166	2.8712000846862793	2.5220999717712402	3.017199993133545	2.272700071334839
不爽	1.3026000261306763	3.065200090408325	2.7063000202178955	3.3183999061584473	2.336199998855591
不祥	1.1161999702453613	2.912600040435791	2.6501998901367188	2.940000057220459	2.3915998935699463
不符	1.3705999851226807	2.2913999557495117	2.023400068283081	2.265899896621704	1.9950000047683716
不順	1.32260000705719	2.490000009536743	2.178800106048584	2.497499942779541	2.09689998626709
不當	1.2883000373840332	2.716099977493286	2.367500066757202	2.8350000381469727	2.1956000328063965
不解	1.4661999940872192	2.1910998821258545	1.9198999404907227	2.2374000549316406	1.9056999683380127
不滿	1.267699956893921	2.9214999675750732	2.5641000270843506	3.1071999073028564	2.2820000648498535
不適	1.32260000705719	2.490000009536743	2.178800106048584	2.497499942779541	2.09689998626709
正	2.757699966430664	1.5600999593734741	1.4714000225067139	1.7094000577926636	1.4296000003814697
多餘	1.4192999601364136	2.22760009765625	1.9620000123977661	2.234800100326538	1.9444999694824219
好	2.9022998809814453	1.5641000270843506	1.48580002784729	1.7295000553131104	1.4299999475479126
否定	1.2827999591827393	2.689199924468994	2.3457000255584717	2.789799928665161	2.1849000453948975
否認	1.3315000534057617	2.5754001140594482	2.234999895095825	2.6642000675201416	2.115600109100342
足夠	2.1721999645233154	1.5414999723434448	1.4220000505447388	1.6180000305175781	1.433500051498413
肯定	2.9793999195098877	1.648900032043457	1.5341999530792236	1.8573999404907227	1.472000002861023
哇	2.5392000675201416	1.9809000492095947	1.7403000593185425	2.220900058746338	1.6877000331878662
